timestamp,MQ-135,MQ-7
0,196,441
10,196,445
20,196,444
30,197,443
40,196,443
50,195,443
60,195,444
70,197,443
80,195,440
90,195,441
100,195,441
110,195,443
120,196,442
130,195,443
140,193,442
150,197,441
160,196,442
170,196,443
180,196,442
190,196,440
200,197,441
210,196,440
220,196,442
230,197,441
240,194,441
250,195,442
260,196,440
270,196,442
280,198,441
290,196,441
300,197,438
310,196,440
320,196,440
330,197,439
340,195,440
350,196,440
360,196,441
370,194,439
380,194,439
390,197,440
400,195,437
410,195,437
420,195,437
430,194,437
440,196,438
450,196,435
460,196,437
470,195,438
480,195,437
490,195,438
500,195,438
510,196,438
520,196,437
530,197,436
540,196,437
550,196,436
560,196,437
570,195,436
580,196,436
590,196,438
600,196,438
610,196,437
620,195,436
630,196,436
640,196,436
650,196,435
660,193,436
670,197,437
680,196,436
690,196,437
700,195,436
710,196,437
720,196,437
730,196,437
740,196,435
750,196,434
760,196,436
770,197,437
780,196,436
790,195,436
800,196,435
810,198,434
820,195,435
830,195,435
840,196,433
850,195,435
860,196,434
870,195,433
880,196,434
890,195,434
900,196,435
910,193,435
920,196,434
930,195,434
940,196,433
950,196,435
960,195,436
970,198,433
980,195,434
990,195,433
