timestamp,MQ-135,MQ-7
0,225,348
10,224,355
20,226,356
30,225,358
40,225,359
50,225,360
60,224,359
70,225,360
80,224,359
90,227,360
100,226,359
110,225,360
120,225,360
130,225,360
140,225,359
150,226,361
160,225,360
170,223,361
180,224,361
190,226,360
200,225,362
210,223,361
220,226,361
230,224,361
240,225,360
250,225,361
260,225,360
270,225,361
280,223,361
290,225,362
300,225,361
310,225,360
320,225,360
330,224,361
340,225,361
350,225,362
360,225,361
370,225,361
380,223,361
390,224,361
400,226,361
410,225,360
420,227,362
430,227,361
440,225,360
450,226,361
460,224,361
470,225,362
480,223,360
490,225,361
500,224,362
510,224,362
520,224,361
530,225,360
540,225,361
550,225,362
560,225,360
570,227,362
580,226,362
590,227,362
600,225,363
610,227,360
620,227,361
630,226,362
640,225,360
650,225,361
660,225,362
670,226,362
680,226,361
690,226,361
700,226,361
710,227,360
720,226,361
730,226,362
740,226,362
750,227,359
760,225,359
770,227,361
780,227,361
790,224,361
800,225,360
810,226,360
820,226,361
830,227,363
840,226,361
850,226,362
860,226,360
870,227,362
880,227,362
890,224,360
900,225,360
910,226,360
920,225,361
930,226,360
940,227,362
950,228,362
960,226,362
970,226,360
980,226,361
990,227,359
