timestamp,MQ-135,MQ-7
0,222,472
10,222,464
20,221,462
30,219,464
40,223,463
50,220,463
60,221,463
70,221,463
80,223,464
90,221,463
100,221,462
110,223,464
120,219,463
130,219,462
140,221,462
150,221,460
160,222,463
170,221,461
180,222,461
190,221,462
200,221,462
210,221,462
220,221,461
230,220,462
240,220,462
250,222,461
260,222,462
270,224,460
280,222,460
290,222,461
300,221,461
310,221,463
320,222,461
330,220,461
340,222,462
350,221,461
360,220,462
370,221,460
380,221,461
390,221,460
400,221,462
410,220,461
420,220,461
430,221,460
440,221,461
450,220,461
460,222,463
470,222,460
480,222,462
490,222,461
500,221,462
510,221,461
520,222,461
530,221,461
540,222,461
550,221,461
560,221,460
570,222,461
580,222,463
590,221,461
600,222,460
610,222,460
620,222,462
630,222,462
640,222,461
650,221,461
660,222,462
670,221,460
680,222,461
690,222,461
700,221,461
710,221,461
720,221,461
730,223,461
740,221,460
750,222,460
760,221,460
770,221,460
780,221,460
790,222,460
800,221,460
810,223,461
820,218,460
830,221,461
840,220,459
850,221,460
860,220,460
870,220,459
880,222,458
890,221,459
900,221,459
910,222,460
920,221,457
930,220,460
940,220,459
950,220,458
960,222,457
970,219,459
980,219,459
990,220,459
