timestamp,MQ-135,MQ-7
0,588,477
10,583,473
20,582,471
30,587,473
40,587,471
50,588,473
60,585,473
70,587,472
80,588,472
90,589,471
100,586,473
110,587,473
120,584,470
130,584,472
140,585,473
150,588,472
160,583,470
170,583,470
180,586,472
190,583,471
200,585,471
210,587,472
220,585,469
230,586,471
240,585,470
250,585,470
260,584,471
270,583,471
280,587,472
290,586,472
300,586,473
310,587,473
320,586,471
330,586,472
340,586,472
350,585,471
360,584,472
370,584,470
380,585,471
390,584,473
400,585,471
410,585,473
420,583,471
430,584,472
440,584,472
450,587,470
460,584,470
470,583,470
480,584,473
490,584,473
500,582,471
510,584,470
520,583,471
530,585,473
540,583,473
550,582,472
560,583,473
570,581,471
580,582,471
590,583,470
600,583,470
610,583,472
620,582,469
630,582,471
640,582,470
650,584,471
660,582,472
670,580,471
680,579,469
690,582,472
700,582,470
710,581,470
720,581,471
730,582,470
740,580,471
750,580,471
760,582,471
770,580,470
780,580,471
790,581,471
800,581,470
810,581,472
820,581,472
830,581,472
840,580,469
850,579,470
860,581,472
870,580,471
880,579,471
890,579,470
900,579,470
910,579,471
920,580,469
930,580,471
940,580,471
950,580,470
960,578,470
970,579,471
980,578,469
990,580,472
