timestamp,MQ-135,MQ-7
0,193,457
10,193,456
20,193,455
30,192,456
40,192,454
50,192,455
60,190,454
70,190,454
80,191,454
90,190,452
100,190,452
110,190,455
120,191,455
130,191,455
140,192,452
150,190,455
160,191,453
170,191,452
180,190,454
190,190,451
200,190,453
210,191,454
220,191,453
230,191,455
240,191,452
250,192,453
260,191,452
270,192,452
280,192,454
290,191,452
300,192,454
310,191,453
320,192,452
330,192,453
340,193,454
350,192,453
360,192,454
370,192,452
380,194,455
390,191,451
400,192,453
410,192,454
420,191,453
430,193,453
440,192,453
450,191,453
460,192,454
470,192,453
480,192,454
490,190,451
500,192,454
510,191,452
520,192,452
530,192,452
540,191,451
550,192,453
560,192,453
570,192,453
580,191,454
590,192,452
600,191,452
610,193,454
620,191,452
630,192,453
640,193,453
650,193,453
660,192,453
670,192,450
680,192,452
690,191,451
700,189,452
710,189,453
720,192,452
730,191,451
740,191,452
750,190,451
760,191,451
770,191,452
780,192,451
790,192,452
800,191,449
810,191,451
820,194,452
830,190,451
840,191,451
850,191,450
860,192,453
870,192,451
880,190,450
890,192,452
900,189,451
910,190,452
920,192,451
930,192,452
940,191,451
950,191,453
960,192,449
970,190,452
980,192,452
990,191,449
