timestamp,MQ-135,MQ-7
0,278,452
10,275,453
20,276,453
30,278,453
40,275,451
50,279,452
60,277,451
70,276,451
80,276,452
90,276,451
100,275,451
110,277,451
120,279,450
130,277,452
140,277,451
150,276,451
160,276,450
170,276,448
180,276,450
190,278,451
200,274,449
210,278,451
220,275,450
230,278,451
240,277,452
250,277,453
260,275,450
270,275,450
280,275,452
290,275,449
300,279,450
310,277,453
320,277,452
330,277,452
340,275,453
350,277,452
360,276,453
370,277,451
380,276,451
390,278,452
400,275,451
410,277,452
420,278,452
430,276,453
440,277,452
450,278,452
460,277,450
470,277,451
480,276,450
490,276,454
500,276,453
510,275,452
520,274,454
530,276,453
540,276,452
550,272,454
560,275,454
570,276,454
580,273,456
590,275,452
600,277,456
610,275,455
620,275,454
630,274,454
640,275,455
650,273,454
660,274,457
670,274,455
680,273,457
690,275,457
700,275,458
710,276,459
720,274,457
730,276,455
740,276,458
750,273,456
760,274,457
770,275,456
780,274,457
790,272,456
800,275,456
810,275,456
820,275,458
830,274,459
840,275,457
850,275,457
860,276,458
870,275,457
880,275,456
890,275,457
900,275,457
910,278,456
920,275,456
930,274,458
940,275,458
950,276,457
960,275,458
970,275,456
980,274,458
990,274,456
