timestamp,MQ-135,MQ-7
0,175,400
10,173,399
20,175,393
30,173,395
40,174,393
50,175,394
60,174,394
70,174,392
80,175,395
90,175,393
100,175,392
110,175,396
120,175,393
130,175,395
140,175,393
150,175,393
160,176,394
170,174,393
180,172,390
190,168,388
200,174,390
210,174,392
220,174,393
230,174,394
240,173,391
250,171,392
260,174,393
270,174,392
280,174,392
290,173,393
300,174,394
310,173,392
320,174,392
330,171,391
340,168,382
350,171,388
360,170,389
370,173,391
380,173,393
390,175,392
400,175,392
410,175,394
420,171,389
430,175,393
440,175,392
450,176,397
460,177,395
470,176,392
480,176,396
490,175,393
500,176,396
510,175,394
520,176,394
530,176,394
540,175,393
550,175,394
560,176,395
570,176,392
580,175,396
590,175,395
600,175,394
610,175,395
620,175,394
630,174,394
640,175,393
650,175,394
660,174,395
670,174,394
680,175,395
690,174,394
700,175,395
710,174,394
720,175,394
730,175,396
740,174,393
750,175,395
760,172,394
770,173,395
780,174,395
790,176,392
800,174,393
810,175,394
820,175,394
830,174,395
840,174,395
850,174,394
860,176,394
870,175,392
880,176,393
890,175,394
900,175,394
910,175,395
920,175,396
930,175,395
940,175,394
950,174,394
960,175,395
970,173,394
980,173,395
990,176,393
