timestamp,MQ-135,MQ-7
0,212,347
10,212,354
20,211,356
30,212,359
40,211,357
50,212,358
60,212,359
70,210,361
80,211,360
90,213,361
100,211,360
110,210,359
120,211,361
130,211,361
140,212,359
150,210,360
160,211,360
170,210,360
180,212,360
190,210,359
200,210,360
210,212,361
220,211,365
230,212,361
240,210,363
250,211,361
260,212,361
270,213,361
280,212,363
290,210,361
300,213,363
310,210,362
320,212,363
330,211,360
340,212,360
350,211,362
360,213,358
370,215,363
380,211,361
390,211,361
400,209,360
410,208,361
420,212,361
430,213,361
440,213,361
450,212,362
460,212,361
470,212,363
480,211,361
490,211,361
500,212,361
510,211,361
520,211,362
530,212,359
540,213,362
550,212,361
560,212,360
570,212,360
580,214,361
590,212,361
600,210,361
610,211,360
620,213,361
630,212,360
640,214,361
650,214,360
660,213,360
670,212,362
680,213,362
690,209,359
700,211,361
710,210,361
720,213,362
730,213,359
740,211,360
750,212,362
760,212,361
770,213,360
780,213,361
790,213,361
800,212,364
810,212,361
820,213,363
830,214,360
840,213,360
850,211,361
860,212,361
870,212,363
880,213,361
890,211,360
900,212,363
910,212,361
920,212,361
930,212,360
940,213,362
950,215,362
960,214,361
970,214,363
980,213,360
990,213,362
