timestamp,MQ-135,MQ-7
0,213,346
10,211,355
20,211,358
30,211,356
40,213,358
50,214,358
60,213,357
70,214,357
80,212,356
90,213,358
100,211,359
110,213,359
120,212,361
130,213,361
140,214,360
150,212,361
160,212,361
170,214,360
180,213,359
190,213,359
200,213,361
210,212,359
220,212,361
230,214,359
240,212,358
250,212,360
260,213,359
270,213,360
280,211,359
290,214,360
300,213,361
310,212,359
320,210,359
330,212,360
340,214,360
350,213,361
360,213,361
370,212,361
380,214,360
390,212,362
400,213,361
410,214,362
420,213,361
430,214,362
440,212,361
450,212,361
460,213,361
470,211,360
480,212,359
490,213,358
500,212,361
510,211,360
520,212,362
530,212,360
540,210,361
550,212,361
560,212,360
570,212,362
580,212,360
590,215,360
600,213,359
610,211,359
620,212,362
630,213,360
640,213,360
650,213,361
660,211,360
670,212,361
680,212,359
690,213,359
700,212,360
710,212,360
720,212,360
730,214,359
740,214,358
750,212,358
760,212,360
770,213,361
780,213,357
790,210,358
800,211,359
810,213,359
820,212,360
830,210,360
840,212,361
850,212,360
860,214,361
870,212,360
880,213,361
890,213,360
900,212,359
910,212,359
920,212,361
930,213,360
940,211,360
950,212,359
960,212,359
970,212,359
980,212,361
990,213,360
