timestamp,MQ-135,MQ-7
0,211,457
10,211,456
20,212,456
30,212,455
40,212,456
50,211,454
60,211,454
70,211,455
80,211,454
90,211,454
100,210,453
110,212,454
120,212,455
130,211,453
140,212,455
150,212,453
160,211,455
170,211,454
180,212,454
190,212,454
200,210,457
210,212,456
220,212,456
230,212,454
240,212,455
250,212,456
260,213,457
270,212,456
280,212,456
290,211,454
300,213,456
310,211,454
320,212,453
330,213,455
340,213,454
350,212,454
360,213,455
370,213,455
380,211,455
390,212,455
400,214,455
410,212,454
420,212,453
430,211,455
440,212,455
450,211,455
460,212,456
470,212,454
480,212,454
490,211,453
500,211,454
510,212,454
520,212,455
530,211,454
540,212,454
550,210,456
560,211,455
570,211,454
580,211,456
590,211,453
600,211,456
610,211,456
620,212,454
630,212,455
640,211,454
650,211,455
660,211,456
670,212,454
680,210,457
690,209,454
700,211,456
710,211,457
720,211,456
730,211,456
740,211,457
750,211,457
760,211,454
770,213,455
780,211,455
790,211,454
800,210,457
810,210,455
820,211,456
830,209,456
840,210,455
850,209,454
860,210,454
870,211,456
880,210,455
890,209,455
900,210,456
910,207,455
920,209,454
930,209,456
940,209,456
950,209,457
960,211,455
970,208,453
980,209,454
990,205,452
