timestamp,MQ-135,MQ-7
0,214,425
10,214,432
20,214,432
30,213,430
40,215,431
50,214,430
60,214,430
70,213,430
80,215,430
90,216,432
100,216,431
110,214,431
120,215,431
130,215,430
140,214,430
150,215,432
160,215,431
170,215,431
180,215,432
190,215,433
200,215,431
210,214,430
220,213,430
230,215,430
240,215,429
250,215,431
260,213,432
270,214,431
280,214,431
290,217,430
300,214,431
310,215,430
320,213,430
330,214,431
340,213,430
350,214,431
360,216,432
370,214,431
380,214,431
390,217,431
400,213,429
410,213,430
420,214,430
430,214,430
440,213,430
450,215,431
460,213,429
470,215,431
480,213,429
490,212,429
500,214,428
510,214,431
520,212,428
530,215,431
540,214,429
550,214,429
560,214,431
570,214,430
580,214,431
590,214,429
600,213,428
610,214,429
620,215,429
630,215,430
640,214,429
650,214,428
660,213,429
670,214,429
680,213,428
690,213,428
700,212,429
710,213,429
720,213,428
730,214,429
740,213,429
750,214,428
760,214,430
770,213,429
780,213,429
790,214,430
800,215,429
810,213,427
820,214,429
830,214,429
840,217,429
850,212,427
860,213,427
870,215,428
880,211,427
890,213,429
900,211,429
910,213,429
920,217,429
930,213,428
940,214,429
950,215,427
960,214,429
970,214,426
980,213,428
990,216,426
