timestamp,MQ-135,MQ-7
0,208,350
10,207,356
20,208,356
30,208,356
40,207,358
50,208,359
60,208,360
70,208,358
80,208,359
90,207,362
100,208,361
110,208,362
120,208,361
130,208,360
140,208,362
150,209,360
160,208,360
170,207,357
180,206,360
190,205,361
200,210,359
210,208,360
220,208,362
230,209,361
240,208,361
250,208,360
260,207,362
270,206,361
280,208,360
290,209,363
300,208,360
310,209,362
320,208,360
330,213,363
340,210,363
350,210,359
360,209,361
370,209,359
380,210,360
390,210,360
400,211,357
410,209,360
420,208,360
430,208,358
440,210,361
450,206,360
460,209,363
470,210,360
480,209,358
490,209,360
500,210,359
510,210,360
520,209,359
530,210,358
540,209,360
550,211,359
560,209,360
570,211,359
580,210,360
590,209,360
600,210,358
610,211,363
620,209,360
630,209,361
640,210,364
650,210,359
660,210,361
670,210,360
680,210,361
690,211,360
700,210,359
710,209,360
720,210,360
730,209,362
740,209,361
750,210,359
760,210,361
770,211,361
780,210,360
790,210,361
800,211,359
810,210,362
820,210,361
830,209,361
840,207,361
850,209,360
860,210,362
870,212,360
880,211,359
890,211,361
900,210,359
910,210,361
920,209,360
930,208,360
940,209,363
950,210,359
960,209,363
970,209,359
980,210,358
990,209,362
