timestamp,MQ-135,MQ-7
0,203,477
10,202,465
20,203,467
30,203,466
40,203,465
50,203,466
60,202,465
70,201,466
80,202,464
90,202,465
100,201,465
110,201,464
120,200,466
130,202,464
140,203,463
150,203,466
160,202,465
170,202,465
180,202,465
190,203,466
200,203,465
210,202,466
220,203,465
230,203,466
240,204,464
250,203,466
260,204,466
270,203,465
280,204,466
290,204,465
300,204,465
310,206,465
320,203,465
330,205,466
340,205,465
350,204,465
360,204,465
370,205,464
380,206,465
390,204,465
400,205,466
410,207,464
420,204,464
430,203,464
440,205,465
450,206,465
460,206,465
470,205,465
480,205,465
490,205,464
500,205,464
510,204,464
520,205,464
530,205,464
540,205,464
550,205,464
560,203,465
570,205,466
580,206,465
590,205,463
600,205,463
610,206,464
620,205,464
630,205,465
640,205,463
650,205,464
660,206,463
670,205,465
680,206,463
690,205,464
700,205,463
710,205,461
720,205,464
730,206,463
740,206,462
750,206,463
760,206,464
770,206,463
780,206,463
790,205,463
800,206,463
810,205,463
820,206,463
830,206,463
840,205,464
850,205,462
860,205,460
870,205,462
880,204,461
890,204,462
900,204,461
910,204,462
920,204,461
930,204,462
940,204,462
950,204,462
960,204,460
970,204,461
980,204,463
990,204,462
