timestamp,MQ-135,MQ-7
0,593,482
10,592,475
20,592,475
30,591,477
40,592,475
50,592,477
60,593,475
70,595,475
80,592,475
90,593,475
100,597,475
110,593,475
120,593,476
130,593,474
140,595,473
150,593,474
160,595,475
170,594,475
180,594,475
190,595,476
200,591,475
210,592,476
220,593,475
230,592,476
240,593,474
250,595,475
260,591,474
270,594,473
280,592,475
290,591,475
300,593,475
310,593,475
320,592,474
330,592,476
340,593,475
350,592,474
360,593,474
370,593,474
380,592,475
390,593,473
400,592,476
410,593,473
420,593,474
430,593,474
440,593,475
450,593,474
460,593,474
470,593,475
480,592,475
490,593,475
500,592,476
510,591,474
520,592,474
530,591,474
540,593,475
550,592,475
560,593,474
570,592,474
580,593,475
590,592,474
600,592,476
610,592,475
620,592,474
630,592,474
640,593,473
650,592,476
660,593,475
670,592,475
680,592,476
690,593,474
700,594,475
710,592,473
720,591,473
730,592,476
740,591,474
750,593,474
760,593,475
770,592,475
780,592,474
790,592,473
800,593,475
810,592,475
820,594,473
830,591,474
840,590,474
850,592,475
860,591,474
870,592,474
880,589,475
890,590,474
900,591,475
910,588,475
920,592,475
930,592,475
940,592,473
950,594,476
960,592,474
970,593,475
980,593,475
990,592,475
