timestamp,MQ-135,MQ-7
0,247,453
10,248,449
20,247,451
30,247,451
40,247,450
50,245,449
60,246,450
70,246,451
80,245,450
90,246,448
100,247,449
110,246,447
120,247,448
130,247,450
140,245,449
150,246,449
160,247,449
170,245,450
180,246,451
190,247,449
200,247,450
210,247,450
220,247,451
230,248,450
240,247,449
250,246,448
260,245,450
270,247,451
280,247,449
290,248,448
300,246,450
310,245,449
320,245,450
330,247,449
340,247,449
350,248,450
360,246,447
370,245,449
380,247,449
390,249,448
400,245,451
410,247,448
420,245,448
430,246,450
440,246,450
450,247,451
460,249,449
470,247,448
480,247,449
490,247,449
500,245,448
510,246,448
520,247,449
530,243,449
540,247,448
550,249,449
560,247,448
570,246,448
580,246,449
590,246,449
600,246,450
610,245,448
620,246,447
630,246,449
640,246,448
650,246,449
660,246,450
670,245,449
680,247,449
690,245,448
700,246,448
710,246,448
720,246,446
730,245,446
740,246,447
750,245,450
760,246,449
770,246,449
780,246,448
790,246,447
800,245,448
810,245,448
820,247,448
830,245,447
840,246,449
850,246,449
860,245,450
870,245,449
880,246,449
890,246,449
900,246,450
910,246,447
920,244,449
930,244,448
940,246,447
950,244,448
960,244,448
970,246,448
980,245,448
990,245,448
