timestamp,MQ-135,MQ-7
0,323,464
10,322,463
20,321,462
30,322,462
40,323,461
50,323,463
60,321,461
70,321,460
80,320,461
90,318,460
100,320,461
110,321,460
120,320,461
130,321,461
140,318,460
150,319,460
160,322,460
170,318,460
180,320,461
190,322,461
200,319,461
210,324,462
220,321,461
230,321,462
240,322,460
250,323,461
260,322,460
270,321,460
280,322,459
290,321,460
300,322,460
310,321,461
320,321,459
330,320,460
340,320,459
350,320,460
360,319,459
370,319,460
380,319,459
390,321,461
400,320,459
410,321,461
420,322,461
430,318,459
440,319,460
450,319,459
460,320,461
470,319,460
480,318,460
490,319,460
500,319,460
510,320,460
520,319,460
530,319,459
540,318,459
550,319,458
560,319,459
570,319,460
580,320,459
590,320,460
600,319,459
610,319,461
620,319,459
630,319,460
640,318,460
650,319,461
660,318,460
670,319,460
680,319,459
690,318,459
700,318,460
710,318,461
720,318,459
730,318,460
740,317,458
750,318,458
760,318,461
770,318,461
780,318,460
790,318,460
800,318,460
810,318,461
820,317,459
830,318,460
840,316,459
850,316,459
860,317,460
870,318,460
880,317,461
890,317,460
900,317,460
910,318,461
920,317,460
930,318,462
940,318,460
950,316,459
960,317,460
970,317,459
980,317,459
990,317,460
