timestamp,MQ-135,MQ-7
0,203,462
10,202,457
20,198,453
30,200,454
40,202,454
50,200,455
60,200,453
70,199,455
80,199,454
90,200,455
100,200,454
110,200,455
120,200,453
130,200,453
140,200,454
150,201,453
160,201,453
170,203,455
180,202,454
190,200,453
200,201,456
210,201,454
220,201,456
230,202,456
240,201,455
250,201,455
260,202,454
270,203,455
280,203,455
290,203,455
300,203,456
310,203,455
320,203,456
330,202,455
340,202,455
350,201,455
360,202,452
370,203,457
380,203,455
390,203,456
400,203,456
410,203,455
420,204,457
430,203,454
440,202,454
450,201,456
460,202,455
470,202,455
480,201,454
490,202,456
500,202,455
510,203,456
520,204,455
530,203,455
540,203,456
550,201,456
560,201,455
570,203,456
580,202,455
590,202,455
600,204,455
610,205,454
620,204,457
630,205,457
640,204,460
650,203,459
660,204,457
670,206,458
680,205,458
690,205,459
700,204,459
710,205,457
720,204,460
730,206,459
740,206,460
750,204,459
760,204,460
770,205,461
780,204,461
790,205,460
800,204,461
810,204,460
820,205,461
830,205,461
840,205,460
850,204,461
860,207,461
870,204,460
880,205,459
890,205,460
900,204,459
910,203,458
920,203,460
930,203,459
940,204,460
950,203,459
960,203,459
970,205,460
980,204,459
990,205,461
