timestamp,MQ-135,MQ-7
0,213,345
10,213,353
20,213,355
30,213,356
40,214,355
50,213,358
60,216,359
70,215,358
80,215,360
90,215,357
100,213,356
110,215,356
120,216,356
130,215,358
140,215,358
150,216,359
160,215,359
170,219,357
180,216,358
190,215,357
200,216,358
210,216,359
220,216,356
230,216,360
240,216,358
250,217,359
260,217,360
270,216,357
280,216,360
290,216,361
300,217,360
310,215,357
320,215,358
330,216,359
340,215,359
350,215,359
360,216,357
370,216,358
380,218,359
390,214,358
400,214,359
410,214,360
420,215,357
430,216,359
440,215,359
450,216,359
460,214,358
470,214,358
480,215,359
490,216,359
500,215,360
510,214,359
520,214,358
530,216,359
540,216,357
550,215,356
560,214,359
570,214,360
580,214,358
590,214,359
600,215,360
610,216,357
620,214,358
630,214,360
640,215,358
650,218,359
660,214,357
670,215,357
680,216,359
690,215,359
700,215,360
710,216,360
720,215,359
730,214,358
740,215,357
750,216,359
760,216,359
770,215,358
780,216,361
790,216,357
800,216,358
810,215,360
820,213,358
830,215,358
840,212,360
850,214,358
860,215,358
870,214,357
880,215,359
890,214,358
900,214,358
910,215,358
920,214,359
930,214,361
940,218,357
950,214,360
960,215,359
970,214,360
980,212,359
990,214,358
