timestamp,MQ-135,MQ-7
0,234,346
10,233,353
20,235,354
30,235,354
40,233,358
50,234,359
60,233,358
70,234,359
80,234,360
90,235,360
100,235,358
110,235,359
120,235,357
130,234,360
140,235,359
150,234,360
160,234,358
170,234,359
180,235,361
190,236,359
200,235,360
210,235,361
220,235,361
230,238,361
240,233,360
250,234,360
260,232,362
270,235,360
280,235,362
290,235,361
300,236,361
310,235,360
320,235,360
330,234,362
340,236,361
350,234,361
360,235,362
370,235,360
380,235,360
390,235,360
400,235,358
410,235,361
420,235,360
430,235,361
440,234,361
450,236,359
460,235,362
470,235,360
480,234,358
490,234,362
500,235,361
510,232,362
520,234,361
530,236,361
540,234,360
550,235,360
560,235,361
570,233,362
580,233,360
590,235,361
600,235,360
610,234,359
620,236,361
630,235,361
640,235,362
650,235,361
660,234,360
670,235,361
680,235,359
690,235,360
700,234,360
710,233,360
720,234,360
730,237,360
740,235,360
750,234,362
760,234,360
770,233,360
780,234,361
790,234,360
800,234,360
810,234,361
820,234,360
830,235,361
840,237,361
850,237,361
860,234,361
870,234,361
880,235,361
890,236,362
900,235,361
910,235,361
920,235,361
930,235,360
940,235,362
950,235,360
960,235,361
970,237,360
980,235,360
990,234,360
