timestamp,MQ-135,MQ-7
0,203,463
10,204,462
20,201,460
30,202,458
40,201,461
50,202,458
60,203,462
70,201,459
80,203,458
90,203,459
100,203,457
110,204,459
120,201,459
130,203,459
140,203,460
150,204,459
160,204,461
170,203,457
180,203,458
190,202,460
200,203,459
210,203,461
220,203,459
230,201,458
240,203,460
250,203,458
260,204,459
270,201,459
280,202,457
290,202,458
300,202,456
310,203,459
320,204,459
330,202,459
340,202,459
350,202,459
360,203,460
370,200,459
380,204,459
390,202,458
400,203,458
410,201,458
420,202,456
430,201,457
440,202,457
450,202,456
460,202,458
470,202,456
480,201,456
490,202,457
500,203,456
510,203,457
520,201,457
530,201,457
540,202,455
550,201,455
560,202,457
570,200,455
580,202,455
590,203,455
600,201,453
610,201,455
620,201,455
630,201,456
640,202,457
650,202,456
660,202,457
670,203,454
680,200,455
690,202,455
700,202,453
710,202,455
720,202,454
730,204,455
740,203,455
750,202,453
760,202,455
770,203,454
780,201,455
790,202,453
800,201,453
810,202,453
820,202,454
830,202,454
840,203,454
850,202,452
860,203,454
870,202,452
880,202,453
890,200,452
900,200,450
910,202,452
920,201,452
930,200,451
940,201,451
950,201,451
960,202,452
970,200,453
980,203,451
990,201,453
