timestamp,MQ-135,MQ-7
0,191,337
10,191,349
20,191,352
30,191,354
40,191,356
50,189,357
60,192,356
70,191,357
80,191,356
90,191,357
100,191,358
110,190,357
120,191,357
130,191,357
140,191,357
150,191,356
160,191,358
170,193,356
180,190,359
190,191,358
200,191,356
210,192,358
220,190,360
230,191,356
240,190,359
250,191,359
260,190,357
270,190,357
280,193,358
290,191,359
300,191,359
310,190,359
320,190,358
330,191,358
340,191,359
350,192,359
360,194,357
370,191,358
380,192,359
390,192,358
400,192,356
410,194,358
420,193,356
430,193,359
440,192,360
450,192,358
460,193,357
470,192,358
480,193,359
490,191,358
500,194,359
510,192,357
520,192,358
530,193,359
540,192,359
550,192,359
560,190,360
570,194,358
580,193,359
590,192,358
600,192,361
610,193,359
620,192,359
630,194,359
640,192,360
650,192,359
660,193,359
670,192,358
680,192,359
690,192,359
700,192,359
710,193,358
720,193,357
730,192,360
740,192,358
750,192,358
760,193,357
770,192,359
780,192,360
790,191,358
800,192,357
810,192,360
820,193,359
830,193,360
840,192,360
850,192,359
860,193,359
870,192,356
880,192,359
890,192,358
900,192,360
910,192,359
920,193,359
930,193,360
940,193,358
950,194,357
960,193,357
970,194,359
980,192,359
990,192,358
