timestamp,MQ-135,MQ-7
0,294,445
10,289,446
20,289,446
30,291,449
40,291,445
50,289,444
60,291,446
70,291,446
80,292,446
90,290,447
100,291,447
110,291,448
120,287,446
130,290,445
140,292,447
150,290,446
160,290,447
170,290,446
180,290,447
190,290,444
200,290,447
210,290,447
220,291,446
230,290,445
240,290,446
250,289,445
260,288,444
270,290,445
280,288,446
290,291,446
300,290,448
310,289,445
320,290,448
330,289,447
340,293,445
350,290,447
360,289,446
370,288,446
380,288,445
390,290,446
400,288,447
410,289,445
420,289,447
430,287,447
440,286,446
450,288,447
460,287,447
470,287,446
480,287,448
490,287,447
500,287,449
510,288,449
520,288,448
530,287,448
540,287,449
550,286,449
560,288,447
570,287,447
580,286,446
590,286,447
600,287,446
610,288,447
620,288,448
630,283,448
640,287,447
650,283,447
660,289,447
670,288,447
680,285,449
690,286,449
700,287,446
710,287,448
720,288,449
730,286,449
740,286,447
750,287,446
760,286,447
770,284,447
780,287,447
790,288,449
800,287,448
810,288,448
820,287,448
830,287,446
840,285,447
850,287,448
860,288,448
870,285,447
880,287,448
890,287,447
900,287,447
910,285,447
920,287,448
930,286,449
940,287,448
950,287,447
960,287,449
970,286,447
980,287,448
990,284,447
