timestamp,MQ-135,MQ-7
0,202,460
10,202,456
20,201,457
30,201,457
40,201,455
50,199,454
60,200,455
70,199,455
80,198,455
90,201,454
100,199,453
110,199,453
120,197,453
130,200,454
140,200,455
150,199,455
160,199,454
170,200,455
180,199,453
190,199,453
200,199,453
210,200,454
220,201,455
230,199,453
240,201,454
250,202,455
260,201,452
270,202,455
280,202,455
290,202,454
300,201,454
310,202,454
320,202,454
330,201,453
340,201,454
350,201,453
360,201,455
370,202,452
380,202,454
390,202,452
400,201,453
410,202,453
420,201,454
430,201,452
440,204,453
450,201,454
460,201,453
470,204,452
480,201,452
490,201,453
500,201,453
510,201,454
520,201,453
530,198,452
540,201,454
550,204,454
560,201,453
570,201,455
580,201,451
590,202,454
600,200,454
610,201,453
620,202,453
630,201,454
640,201,451
650,201,455
660,200,452
670,201,452
680,201,453
690,201,452
700,201,452
710,201,451
720,203,451
730,200,453
740,201,451
750,201,453
760,201,452
770,200,452
780,201,452
790,201,453
800,203,453
810,201,451
820,201,452
830,201,452
840,202,452
850,201,452
860,200,452
870,200,450
880,198,452
890,201,452
900,201,452
910,201,451
920,201,451
930,200,453
940,200,449
950,200,450
960,199,449
970,202,451
980,200,451
990,201,450
