timestamp,MQ-135,MQ-7
0,594,483
10,591,475
20,592,478
30,595,476
40,593,474
50,592,476
60,593,476
70,591,476
80,590,475
90,593,477
100,594,476
110,593,475
120,593,475
130,594,476
140,593,477
150,594,474
160,592,475
170,593,476
180,590,475
190,591,474
200,592,474
210,594,473
220,592,475
230,595,475
240,592,475
250,594,474
260,594,474
270,593,475
280,591,475
290,592,476
300,594,474
310,594,476
320,594,474
330,593,474
340,593,475
350,592,474
360,595,475
370,594,475
380,591,474
390,594,475
400,593,473
410,592,474
420,593,476
430,593,474
440,593,475
450,593,474
460,594,474
470,592,475
480,591,474
490,591,473
500,591,474
510,593,475
520,595,476
530,591,473
540,593,473
550,593,475
560,593,474
570,594,474
580,593,475
590,591,473
600,591,473
610,591,474
620,596,475
630,591,474
640,594,475
650,593,474
660,592,474
670,593,475
680,592,472
690,590,474
700,591,473
710,591,472
720,591,473
730,592,472
740,591,475
750,590,473
760,591,474
770,590,474
780,593,473
790,591,473
800,591,474
810,590,474
820,590,474
830,591,475
840,593,474
850,591,475
860,592,473
870,592,476
880,591,474
890,591,474
900,592,474
910,590,474
920,592,475
930,595,474
940,590,474
950,593,473
960,591,473
970,590,474
980,593,472
990,591,473
