timestamp,MQ-135,MQ-7
0,216,342
10,212,352
20,216,353
30,214,355
40,213,356
50,214,356
60,214,356
70,214,358
80,215,358
90,215,356
100,215,358
110,218,358
120,215,355
130,213,356
140,214,357
150,214,357
160,212,357
170,214,358
180,215,357
190,216,358
200,215,356
210,215,357
220,213,357
230,216,356
240,216,357
250,215,357
260,215,358
270,214,357
280,214,357
290,214,357
300,214,357
310,217,357
320,215,358
330,213,357
340,216,357
350,215,357
360,214,357
370,215,355
380,214,358
390,214,357
400,214,358
410,214,356
420,215,358
430,214,357
440,213,357
450,215,359
460,215,356
470,215,357
480,215,354
490,214,356
500,215,357
510,214,357
520,215,356
530,214,358
540,215,357
550,215,359
560,216,356
570,216,358
580,215,357
590,215,355
600,215,357
610,215,358
620,215,358
630,214,356
640,215,357
650,215,359
660,216,357
670,216,358
680,216,356
690,216,357
700,213,358
710,215,356
720,216,357
730,216,356
740,215,360
750,216,358
760,215,357
770,216,358
780,215,357
790,214,356
800,214,357
810,215,356
820,215,357
830,215,357
840,214,356
850,214,358
860,215,360
870,214,358
880,214,359
890,214,359
900,214,359
910,215,357
920,215,358
930,215,358
940,215,358
950,215,359
960,215,359
970,216,359
980,216,358
990,214,361
