timestamp,MQ-135,MQ-7
0,197,460
10,195,453
20,196,454
30,195,450
40,195,453
50,192,452
60,193,450
70,193,452
80,193,453
90,194,452
100,193,451
110,193,451
120,193,453
130,193,451
140,193,452
150,191,453
160,193,452
170,193,451
180,193,450
190,192,450
200,193,453
210,194,452
220,195,452
230,195,452
240,199,453
250,197,452
260,197,451
270,198,452
280,198,453
290,199,453
300,198,454
310,199,453
320,200,452
330,200,454
340,198,454
350,202,455
360,199,453
370,199,452
380,200,453
390,200,453
400,202,454
410,200,454
420,200,453
430,200,453
440,200,453
450,200,454
460,199,452
470,201,455
480,201,455
490,200,452
500,199,453
510,200,453
520,199,453
530,198,452
540,199,452
550,199,454
560,200,453
570,201,453
580,200,454
590,201,453
600,200,455
610,200,453
620,201,454
630,202,453
640,200,454
650,200,455
660,201,453
670,201,453
680,200,453
690,200,453
700,200,453
710,201,452
720,201,453
730,201,453
740,201,453
750,201,454
760,200,452
770,200,452
780,200,453
790,201,453
800,200,452
810,201,454
820,200,454
830,201,452
840,200,452
850,200,453
860,201,452
870,201,453
880,201,454
890,200,454
900,201,454
910,200,454
920,200,453
930,200,453
940,199,454
950,200,455
960,200,454
970,200,453
980,200,452
990,201,453
