timestamp,MQ-135,MQ-7
0,235,442
10,234,445
20,235,442
30,234,441
40,234,441
50,235,442
60,234,443
70,235,443
80,234,444
90,235,442
100,234,443
110,234,443
120,235,440
130,235,442
140,234,441
150,234,441
160,232,442
170,234,440
180,235,444
190,234,442
200,235,442
210,234,443
220,235,442
230,236,443
240,235,443
250,235,442
260,232,443
270,233,443
280,235,441
290,235,441
300,235,441
310,234,442
320,234,442
330,234,442
340,235,443
350,234,442
360,235,442
370,235,440
380,234,440
390,234,441
400,234,441
410,234,442
420,234,442
430,233,441
440,234,443
450,234,442
460,234,442
470,232,441
480,232,442
490,234,441
500,234,442
510,234,440
520,232,440
530,232,441
540,233,441
550,233,442
560,234,441
570,233,439
580,233,440
590,231,439
600,234,440
610,233,441
620,231,440
630,233,439
640,233,442
650,232,439
660,233,440
670,233,440
680,234,441
690,233,440
700,233,441
710,232,440
720,233,440
730,232,439
740,231,441
750,235,441
760,232,440
770,231,440
780,233,440
790,232,439
800,230,438
810,233,440
820,232,439
830,230,438
840,231,439
850,232,437
860,232,439
870,231,438
880,231,438
890,232,439
900,231,438
910,231,438
920,231,438
930,230,437
940,230,436
950,230,437
960,228,435
970,228,435
980,229,436
990,229,435
