timestamp,MQ-135,MQ-7
0,222,342
10,221,348
20,219,351
30,222,351
40,219,351
50,221,353
60,221,353
70,223,354
80,222,351
90,221,351
100,221,354
110,222,352
120,220,354
130,219,352
140,220,353
150,218,352
160,220,354
170,220,353
180,222,353
190,220,353
200,221,352
210,221,354
220,221,354
230,220,354
240,222,354
250,221,354
260,221,355
270,220,354
280,224,356
290,221,357
300,221,355
310,222,355
320,222,357
330,222,356
340,221,355
350,220,357
360,220,356
370,220,356
380,220,356
390,221,356
400,221,355
410,223,355
420,219,355
430,220,356
440,219,357
450,219,356
460,221,355
470,221,357
480,221,355
490,220,356
500,221,357
510,222,357
520,220,355
530,223,357
540,221,356
550,221,357
560,221,356
570,221,356
580,219,358
590,220,356
600,219,356
610,220,355
620,220,356
630,219,355
640,220,357
650,221,355
660,219,357
670,220,357
680,219,355
690,220,357
700,220,357
710,219,355
720,220,357
730,220,358
740,219,357
750,220,357
760,219,355
770,219,357
780,220,355
790,220,356
800,220,355
810,220,355
820,220,356
830,220,355
840,219,354
850,219,354
860,221,356
870,219,353
880,219,354
890,219,355
900,218,356
910,217,356
920,219,353
930,220,355
940,219,354
950,221,355
960,220,356
970,216,354
980,221,354
990,220,355
