timestamp,MQ-135,MQ-7
0,199,341
10,198,352
20,196,354
30,198,357
40,198,356
50,200,357
60,197,357
70,198,359
80,198,360
90,198,361
100,195,359
110,198,360
120,197,359
130,198,359
140,200,360
150,200,360
160,199,360
170,200,358
180,199,359
190,200,359
200,200,362
210,200,362
220,200,361
230,198,361
240,200,361
250,200,360
260,200,360
270,200,360
280,201,361
290,199,359
300,200,359
310,199,359
320,201,361
330,201,361
340,201,359
350,200,360
360,200,360
370,198,360
380,200,360
390,200,359
400,201,361
410,201,361
420,200,360
430,199,362
440,201,359
450,201,359
460,201,360
470,201,360
480,201,359
490,201,359
500,200,360
510,200,358
520,200,360
530,201,360
540,201,360
550,201,360
560,202,361
570,201,360
580,201,360
590,201,360
600,200,360
610,201,360
620,199,361
630,199,360
640,201,361
650,201,362
660,201,361
670,200,363
680,202,362
690,199,360
700,200,360
710,200,362
720,201,362
730,201,361
740,200,361
750,202,362
760,201,362
770,200,362
780,202,362
790,200,360
800,201,363
810,198,361
820,198,361
830,200,361
840,200,361
850,201,361
860,200,360
870,201,362
880,201,361
890,201,361
900,201,362
910,201,361
920,201,362
930,202,362
940,200,362
950,200,361
960,201,362
970,200,362
980,201,363
990,201,362
