timestamp,MQ-135,MQ-7
0,245,451
10,245,450
20,245,451
30,245,450
40,244,451
50,246,449
60,244,448
70,245,450
80,247,450
90,244,450
100,245,450
110,244,449
120,245,447
130,245,449
140,245,450
150,247,448
160,245,449
170,244,449
180,245,449
190,244,448
200,245,450
210,245,449
220,243,450
230,242,447
240,245,450
250,245,447
260,244,449
270,243,449
280,244,448
290,245,450
300,245,449
310,244,450
320,245,448
330,245,448
340,244,449
350,246,448
360,246,450
370,244,449
380,246,448
390,245,449
400,245,447
410,244,450
420,245,449
430,245,447
440,242,449
450,244,449
460,246,449
470,244,448
480,245,448
490,244,448
500,244,446
510,244,448
520,243,448
530,243,447
540,243,449
550,244,447
560,244,449
570,244,447
580,243,447
590,245,449
600,244,446
610,244,448
620,244,449
630,243,448
640,244,449
650,244,447
660,244,448
670,244,448
680,242,446
690,244,448
700,243,447
710,243,447
720,244,448
730,244,446
740,242,447
750,242,447
760,243,449
770,244,447
780,242,447
790,244,448
800,243,447
810,242,448
820,243,449
830,243,449
840,243,448
850,244,447
860,244,448
870,244,448
880,243,448
890,243,449
900,245,448
910,243,448
920,243,448
930,243,447
940,243,448
950,243,447
960,243,446
970,245,449
980,242,446
990,245,449
