timestamp,MQ-135,MQ-7
0,203,403
10,202,407
20,201,405
30,203,405
40,199,403
50,200,404
60,199,406
70,200,404
80,200,405
90,200,403
100,200,405
110,201,405
120,200,402
130,200,405
140,199,402
150,200,403
160,199,403
170,200,402
180,200,402
190,200,404
200,200,401
210,199,404
220,200,401
230,200,404
240,202,402
250,201,404
260,201,403
270,201,403
280,200,404
290,201,404
300,202,405
310,202,406
320,201,405
330,202,403
340,201,403
350,202,405
360,201,404
370,201,403
380,202,405
390,203,404
400,202,404
410,202,407
420,202,405
430,202,406
440,201,402
450,201,404
460,202,404
470,200,403
480,202,405
490,201,404
500,202,405
510,202,406
520,202,405
530,202,406
540,202,405
550,201,405
560,202,403
570,202,404
580,202,404
590,202,405
600,203,405
610,203,406
620,203,406
630,203,406
640,203,405
650,202,404
660,202,406
670,203,406
680,204,406
690,203,405
700,204,407
710,200,405
720,202,404
730,202,404
740,203,405
750,203,405
760,202,404
770,203,405
780,203,408
790,203,405
800,203,406
810,202,407
820,203,405
830,203,406
840,203,406
850,202,405
860,202,405
870,203,403
880,203,405
890,203,405
900,203,405
910,203,406
920,202,405
930,203,408
940,204,407
950,205,406
960,203,406
970,203,406
980,205,406
990,203,406
